Passive Skill,Tier,Category,Primary Effect,Secondary Effect / Penalty,Applies To,Element,Combat Value (/10),Boss Value (/10),Raid Value (/10),Mount Value (/10),Worker Value (/10),Breeding Priority,Transfer Method,Best Archetypes,Recommended Pairings,Avoid When,Source,Data Date,Notes
God of Destruction,World Tree,Hybrid Offense,Attack +40%; Defense +20%,Max Health -50%,Self,All,9,9,9,8,2,Situational,Breeding or Disposable Implant,Glass-cannon DPS; burst raids,Elemental damage passive; cooldown passive,Long endurance fights without healing,https://paldb.cc/en/World_Tree_Passive_Skills,2026-08-05,Extremely powerful but the HP penalty is severe.
Twin-Edged Holy Blade,World Tree,Raw Offense,Attack +50%,Defense -30%,Self,All,9.5,9.5,9.5,8.5,1,High for glass cannon,Breeding or Disposable Implant,Maximum DPS; player-support Pal,Elemental boost; cooldown reduction,Tank or frontline Pal,https://paldb.cc/en/World_Tree_Passive_Skills,2026-08-05,Highest raw Attack option with a major defensive cost.
Sanctified Meat Shield,World Tree,Raw Defense,Defense +50%,Attack -30%,Self,All,7,8,8.5,7,2,High for tanks,Breeding or Disposable Implant,Tank; defensive aura carrier,HP passive; resistance passive,Main DPS,https://paldb.cc/en/World_Tree_Passive_Skills,2026-08-05,Dedicated tank passive.
Demon's Hand,World Tree,Work,Work Speed +90%,SAN drains 15% faster,Self,All,1,1,1,1,10,High for workers,Breeding or Disposable Implant,Base worker,Artisan; Serious; Nocturnal,Combat Pal,https://paldb.cc/en/World_Tree_Passive_Skills,2026-08-05,Best-in-class work speed with SAN drawback.
World Tree Seedbed,World Tree,Sustain / Work,Hunger depletion 50% slower,Max Health -20%,Self,All,4,4,5,5,7.5,Situational,Breeding or Disposable Implant,Long work shifts; exploration,SAN and hunger passives,Frontline combat Pal,https://paldb.cc/en/World_Tree_Passive_Skills,2026-08-05,Convenience passive rather than combat optimization.
Hermit Sage,World Tree,SAN Sustain,SAN depletion 50% slower,Work Speed -20%,Self,All,2,2,2,2,7,Situational,Breeding or Disposable Implant,Base sustain,Nocturnal; hunger sustain,Maximum work-speed build,https://paldb.cc/en/World_Tree_Passive_Skills,2026-08-05,Useful where SAN management matters.
Dimensional Leap,World Tree,Movement,Movement Speed +50%,Hunger drains 15% faster,Self,All,6.5,5,5,10,3,Top mount priority,Breeding or Disposable Implant,Ground/flying/water mount,Swift; Runner; mount stamina,Stationary combat Pal,https://paldb.cc/en/World_Tree_Passive_Skills,2026-08-05,Current premium movement passive.
Legend,Legendary,Hybrid Combat,Attack +20%; Defense +20%; Movement Speed +15%,,Self,All,9.5,9.5,9.5,9.5,3,Very High,Breed from legendary carriers,General DPS; tank; mount,Elemental Emperor/Lord; Serenity,Dedicated base worker,https://paldb.cc/Passive_Skills,2026-08-05,Still one of the strongest no-downside combat passives.
Demon God,Legendary,Hybrid Combat,Attack +30%; Defense +5%,,Self,All,9.5,9.5,9.5,8,2,Very High,Breeding / implant availability,General DPS,Elemental boost; Serenity; Legend,Pure tank,https://paldb.cc/Passive_Skills,2026-08-05,Excellent universally applicable offense.
Musclehead,Gold,Raw Offense,Attack +30%,Work Speed -50%,Self,All,9,9,9,7,0,Very High for combat,Natural / breeding / implant,Combat-only Pal,Elemental boost; Serenity; Legend,Base worker,https://paldb.cc/Passive_Skills,2026-08-05,Core combat passive when work speed is irrelevant.
